label,iter,parallelogram_res_mean,parallelogram_res_absmean,parallelogram_res_maxabs
pTll_106_170,0,-1.4210854715202005e-15,8.810729923425242e-15,2.842170943040401e-14
pTll_106_170,1,-4.263256414560601e-16,2.9842794901924207e-15,2.842170943040401e-14
pTll_106_170,2,-4.973799150320701e-15,8.384404281969182e-15,5.684341886080802e-14
pTll_106_170,3,4.6895820560166614e-15,1.2931877790833824e-14,5.684341886080802e-14
pTll_106_170,4,-8.526512829121202e-15,1.3642420526593923e-14,5.684341886080802e-14
pTll_106_170,5,-1.0800249583553523e-14,1.0800249583553523e-14,5.684341886080802e-14
pTll_106_170,6,7.389644451905042e-15,1.2505552149377763e-14,5.684341886080802e-14
pTll_106_170,7,3.268496584496461e-15,7.531752999057062e-15,2.842170943040401e-14
pTll_106_170,8,9.379164112033323e-15,9.379164112033323e-15,2.842170943040401e-14
pTll_106_170,9,-2.5579538487363606e-15,5.4001247917767615e-15,1.4210854715202004e-14
pTll_106_170,10,-3.268496584496461e-15,6.1106675275368615e-15,1.4210854715202004e-14
pTll_106_170,11,-4.263256414560601e-16,2.9842794901924207e-15,2.842170943040401e-14
pTll_106_170,12,-5.4711790653527716e-15,6.323830348264892e-15,1.4210854715202004e-14
pTll_170_350,0,1.5631940186722205e-14,1.5631940186722205e-14,2.842170943040401e-14
pTll_170_350,1,-3.4106051316484808e-15,9.094947017729283e-15,2.842170943040401e-14
pTll_170_350,2,8.952838470577262e-15,8.952838470577262e-15,2.842170943040401e-14
pTll_170_350,3,5.115907697472721e-15,1.7621459846850484e-14,5.684341886080802e-14
pTll_170_350,4,-1.2647660696529783e-14,1.6626700016786343e-14,2.842170943040401e-14
pTll_170_350,5,-4.405364961712621e-15,1.2647660696529783e-14,2.842170943040401e-14
pTll_170_350,6,1.5916157281026246e-14,1.8758328224066646e-14,5.684341886080802e-14
pTll_170_350,7,-1.0231815394945442e-14,1.5916157281026246e-14,2.842170943040401e-14
pTll_170_350,8,-6.536993168992922e-15,1.9610979506978764e-14,5.684341886080802e-14
pTll_170_350,9,-6.465938895416912e-15,8.739675649849232e-15,2.842170943040401e-14
pTll_170_350,10,-2.972067036921544e-15,5.270228697895618e-15,1.4210854715202004e-14
pTll_170_350,11,2.6290081223123707e-15,7.034373084024992e-15,2.842170943040401e-14
pTll_170_350,12,2.179367797339182e-15,5.518918655411653e-15,1.4210854715202004e-14
pTll_50_76,0,-7.815970093361103e-15,1.2931877790833824e-14,2.842170943040401e-14
pTll_50_76,1,4.831690603168682e-15,1.0516032489249483e-14,5.684341886080802e-14
pTll_50_76,2,3.694822225952521e-15,6.536993168992922e-15,2.842170943040401e-14
pTll_50_76,3,1.6200374375330283e-14,1.6200374375330283e-14,5.684341886080802e-14
pTll_50_76,4,4.121147867408581e-15,1.1510792319313624e-14,2.842170943040401e-14
pTll_50_76,5,-2.7000623958883807e-15,8.384404281969182e-15,2.842170943040401e-14
pTll_50_76,6,6.8212102632969615e-15,1.4210854715202004e-14,2.842170943040401e-14
pTll_50_76,7,-2.842170943040401e-16,1.2221335055073723e-14,2.842170943040401e-14
pTll_50_76,8,1.4210854715202005e-15,1.0516032489249483e-14,2.842170943040401e-14
pTll_50_76,9,-4.405364961712621e-15,4.405364961712621e-15,1.4210854715202004e-14
pTll_50_76,10,5.861977570020827e-16,3.712585794346523e-15,1.4210854715202004e-14
pTll_50_76,11,1.1369898078594786e-15,1.1369898078594786e-15,1.4210854715202004e-14
pTll_50_76,12,1.7850304567801344e-17,3.144238341912242e-15,1.4210854715202004e-14
pTll_76_106,0,-1.2789769243681803e-15,1.2363443602225743e-14,5.684341886080802e-14
pTll_76_106,1,-1.3216094885137864e-14,1.3216094885137864e-14,5.684341886080802e-14
pTll_76_106,2,-1.0800249583553523e-14,1.0800249583553523e-14,2.842170943040401e-14
pTll_76_106,3,-2.415845301584341e-15,6.1106675275368615e-15,2.842170943040401e-14
pTll_76_106,4,1.9895196601282807e-15,1.9042545318370686e-14,5.684341886080802e-14
pTll_76_106,5,-1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-14
pTll_76_106,6,-6.252776074688882e-15,6.252776074688882e-15,2.842170943040401e-14
pTll_76_106,7,-1.1510792319313624e-14,1.1510792319313624e-14,2.842170943040401e-14
pTll_76_106,8,-1.0231815394945442e-14,1.0231815394945442e-14,2.842170943040401e-14
pTll_76_106,9,-9.094947017729283e-15,9.663381206337363e-15,2.842170943040401e-14
pTll_76_106,10,9.237055564881303e-16,8.739675649849232e-15,2.842170943040401e-14
pTll_76_106,11,-4.4825254619240695e-15,5.61939383914023e-15,1.4210854715202004e-14
pTll_76_106,12,-5.5438986734657194e-15,5.5438986734657194e-15,1.4210854715202004e-14
phistar_50_76,0,-9.947598300641402e-15,2.0179413695586844e-14,5.684341886080802e-14
phistar_50_76,1,-2.6432189770275728e-14,2.6432189770275728e-14,1.1368683772161603e-13
phistar_50_76,2,2.2737367544323206e-15,2.1600499167107046e-14,5.684341886080802e-14
phistar_50_76,3,3.9790393202565614e-15,1.5347723092418165e-14,5.684341886080802e-14
phistar_50_76,4,-7.958078640513123e-15,1.5916157281026246e-14,5.684341886080802e-14
phistar_50_76,5,5.115907697472721e-15,3.694822225952521e-14,1.1368683772161603e-13
phistar_50_76,6,8.526512829121202e-16,2.870592652470805e-14,1.1368683772161603e-13
phistar_50_76,7,-2.2737367544323206e-15,2.0463630789890885e-14,5.684341886080802e-14
phistar_50_76,8,1.2221335055073723e-14,2.3590018827235325e-14,1.1368683772161603e-13
phistar_50_76,9,-1.6768808563938364e-14,1.6768808563938364e-14,2.842170943040401e-14
phistar_50_76,10,-1.2789769243681804e-14,1.6768808563938364e-14,5.684341886080802e-14
phistar_50_76,11,-2.842170943040401e-15,2.842170943040401e-15,2.842170943040401e-14
phistar_50_76,12,7.105427357601002e-16,2.1316282072803005e-15,2.842170943040401e-14
